fecha,afore
jul-98,20.4669
ago-98,19.2485
sep-98,19.0424
oct-98,20.9261
nov-98,22.0727
dic-98,23.8597
ene-99,23.8134
feb-99,24.729
mar-99,25.2212
abr-99,25.1542
may-99,24.9937
jun-99,24.9354
jul-99,24.8331
ago-99,24.6526
sep-99,24.5865
oct-99,24.7484
nov-99,25.0043
dic-99,25.0372
ene-00,24.863
feb-00,24.8871
mar-00,24.7353
abr-00,24.4179
may-00,23.3957
jun-00,23.0915
jul-00,23.5124
ago-00,23.1732
sep-00,22.9772
oct-00,22.6991
nov-00,22.6862
dic-00,22.5864
ene-01,22.3617
feb-01,22.3303
mar-01,22.1769
abr-01,22.3278
may-01,22.5416
jun-01,22.4602
jul-01,22.1087
ago-01,21.807
sep-01,21.3603
oct-01,21.4843
nov-01,21.3783
dic-01,21.3668
ene-02,21.3841
feb-02,21.2634
mar-02,21.049
abr-02,20.9675
may-02,20.6068
jun-02,20.1422
jul-02,19.9408
ago-02,19.844
sep-02,19.4386
oct-02,19.2771
nov-02,19.3223
dic-02,19.3266
ene-03,19.0105
feb-03,18.8937
mar-03,18.8963
abr-03,18.9898
may-03,18.9722
jun-03,18.8678
jul-03,18.5538
ago-03,18.4506
sep-03,18.4243
oct-03,18.3131
nov-03,18.0982
dic-03,17.9102
ene-04,17.8944
feb-04,17.7061
mar-04,17.5709
abr-04,17.1761
may-04,16.9748
jun-04,16.7058
jul-04,16.6673
ago-04,16.5944
sep-04,16.5781
oct-04,16.5225
nov-04,16.3835
dic-04,16.3527
ene-05,16.2305
feb-05,16.1086
mar-05,15.9581
abr-05,15.8479
may-05,15.885
jun-05,15.8782
jul-05,15.8343
ago-05,15.8377
sep-05,15.8908
oct-05,15.751
nov-05,15.7172
dic-05,15.7527
ene-06,15.7417
feb-06,15.7531
mar-06,15.5219
abr-06,15.4716
may-06,15.1556
jun-06,15.0652
jul-06,15.1454
ago-06,15.2294
sep-06,15.1824
oct-06,15.2294
nov-06,15.2729
dic-06,15.4394
ene-07,15.1621
feb-07,15.0705
mar-07,15.295
abr-07,15.2454
may-07,15.2344
jun-07,15.0528
jul-07,14.9699
ago-07,14.7729
sep-07,14.7483
oct-07,14.7345
nov-07,14.5028
dic-07,14.4083
ene-08,14.4105
feb-08,14.4521
mar-08,14.3643
abr-08,14.1436
may-08,14.0258
jun-08,13.3773
jul-08,13.3936
ago-08,13.5235
sep-08,13.2556
oct-08,12.823
nov-08,12.5094
dic-08,13.0377
ene-09,13.0808
feb-09,12.5728
mar-09,12.8893
abr-09,12.992
may-09,12.8239
jun-09,12.7451
jul-09,12.7992
ago-09,12.7851
sep-09,12.8383
oct-09,12.8245
nov-09,12.8338
dic-09,12.84
ene-10,12.775
feb-10,12.8234
mar-10,12.8238
abr-10,12.8096
may-10,12.7197
jun-10,12.8291
jul-10,12.9512
ago-10,12.9214
sep-10,13.018
oct-10,13.0697
nov-10,12.7245
dic-10,12.6706
ene-11,12.4893
feb-11,12.3916
mar-11,12.3078
abr-11,12.3909
may-11,12.3976
jun-11,12.3311
jul-11,12.3925
ago-11,12.4481
sep-11,12.2257
oct-11,12.4004
nov-11,12.1623
dic-11,12.1677
ene-12,12.3156
feb-12,12.2153
mar-12,12.1589
abr-12,12.1841
may-12,12.1031
jun-12,12.2325
jul-12,12.4124
ago-12,12.2758
sep-12,12.3212
oct-12,12.2133
nov-12,12.1588
dic-12,12.2183
ene-13,12.2806
feb-13,12.2487
mar-13,12.2768
abr-13,12.3825
may-13,12.0216
jun-13,11.719
jul-13,11.7094
ago-13,11.5968
sep-13,11.7093
oct-13,11.6896
nov-13,11.6373
dic-13,11.5943
ene-14,11.4601
feb-14,11.5161
mar-14,11.5119
abr-14,11.4758
may-14,11.5849
jun-14,11.6186
jul-14,11.5882
ago-14,11.5779
sep-14,11.409
oct-14,11.4261
nov-14,11.4674
dic-14,11.4179
ene-15,11.4931
feb-15,11.4325
mar-15,11.2899
abr-15,11.2912
may-15,11.2603
jun-15,11.1574
jul-15,11.1554
ago-15,11.042
sep-15,10.9161
oct-15,11.0169
nov-15,10.9602
dic-15,10.8487
ene-16,10.7594
feb-16,10.7268
mar-16,10.7959
abr-16,10.788
may-16,10.6982
jun-16,10.7164
jul-16,10.7767
ago-16,10.7645
sep-16,10.71
oct-16,10.6247
nov-16,10.4263
dic-16,10.4234
ene-17,10.4208
feb-17,10.4236
mar-17,10.4501
abr-17,10.4319
may-17,10.3906
