,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rendimientos de las Siefores B?sicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Rendimiento hist?rico, Precios de Bolsa Valores Nominales",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Periodo disponible:,Jul 98 - May 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Periodicidad:,Mensual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cifra:,Porcentaje Anual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unidad:,Porcentaje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Descripci?n del Concepto,,,jul-98,ago-98,sep-98,oct-98,nov-98,dic-98,ene-99,feb-99,mar-99,abr-99,may-99,jun-99,jul-99,ago-99,sep-99,oct-99,nov-99,dic-99,ene-00,feb-00,mar-00,abr-00,may-00,jun-00,jul-00,ago-00,sep-00,oct-00,nov-00,dic-00,ene-01,feb-01,mar-01,abr-01,may-01,jun-01,jul-01,ago-01,sep-01,oct-01,nov-01,dic-01,ene-02,feb-02,mar-02,abr-02,may-02,jun-02,jul-02,ago-02,sep-02,oct-02,nov-02,dic-02,ene-03,feb-03,mar-03,abr-03,may-03,jun-03,jul-03,ago-03,sep-03,oct-03,nov-03,dic-03,ene-04,feb-04,mar-04,abr-04,may-04,jun-04,jul-04,ago-04,sep-04,oct-04,nov-04,dic-04,ene-05,feb-05,mar-05,abr-05,may-05,jun-05,jul-05,ago-05,sep-05,oct-05,nov-05,dic-05,ene-06,feb-06,mar-06,abr-06,may-06,jun-06,jul-06,ago-06,sep-06,oct-06,nov-06,dic-06,ene-07,feb-07,mar-07,abr-07,may-07,jun-07,jul-07,ago-07,sep-07,oct-07,nov-07,dic-07,ene-08,feb-08,mar-08,abr-08,may-08,jun-08,jul-08,ago-08,sep-08,oct-08,nov-08,dic-08,ene-09,feb-09,mar-09,abr-09,may-09,jun-09,jul-09,ago-09,sep-09,oct-09,nov-09,dic-09,ene-10,feb-10,mar-10,abr-10,may-10,jun-10,jul-10,ago-10,sep-10,oct-10,nov-10,dic-10,ene-11,feb-11,mar-11,abr-11,may-11,jun-11,jul-11,ago-11,sep-11,oct-11,nov-11,dic-11,ene-12,feb-12,mar-12,abr-12,may-12,jun-12,jul-12,ago-12,sep-12,oct-12,nov-12,dic-12,ene-13,feb-13,mar-13,abr-13,may-13,jun-13,jul-13,ago-13,sep-13,oct-13,nov-13,dic-13,ene-14,feb-14,mar-14,abr-14,may-14,jun-14,jul-14,ago-14,sep-14,oct-14,nov-14,dic-14,ene-15,feb-15,mar-15,abr-15,may-15,jun-15,jul-15,ago-15,sep-15,oct-15,nov-15,dic-15,ene-16,feb-16,mar-16,abr-16,may-16,jun-16,jul-16,ago-16,sep-16,oct-16,nov-16,dic-16,ene-17,feb-17,mar-17,abr-17,may-17
,  SURA,,,22.15,20.56,20.82,22.72,23.93,25.55,25.51,26.36,26.75,26.67,26.44,26.35,26.23,26.00,25.91,26.08,26.34,26.33,25.99,25.96,25.77,25.44,24.46,24.11,24.48,24.13,23.89,23.64,23.61,23.50,23.33,23.23,23.04,23.17,23.40,23.33,22.96,22.64,22.16,22.37,22.24,22.22,22.21,22.09,21.87,21.80,21.42,20.95,20.74,20.63,20.19,20.03,20.08,20.08,19.75,19.64,19.63,19.73,19.70,19.60,19.27,19.16,19.12,19.00,18.76,18.57,18.57,18.38,18.24,17.88,17.67,17.41,17.36,17.26,17.21,17.14,17.00,16.97,16.91,16.75,16.61,16.51,16.50,16.47,16.44,16.44,16.47,16.34,16.32,16.34,16.31,16.32,16.05,15.99,15.65,15.56,15.68,15.75,15.69,15.77,15.83,16.01,15.71,15.59,15.83,15.79,15.79,15.59,15.51,15.33,15.37,15.35,15.12,14.99,15.04,15.08,14.99,14.76,14.66,13.88,13.99,14.17,13.83,13.29,12.96,13.56,13.66,13.11,13.49,13.63,13.46,13.40,13.45,13.42,13.50,13.50,13.51,13.51,13.47,13.51,13.53,13.53,13.42,13.53,13.63,13.59,13.73,13.78,13.39,13.35,13.16,13.05,12.93,13.04,13.06,12.98,13.05,13.06,12.81,13.01,12.74,12.75,12.95,12.85,12.79,12.82,12.72,12.87,13.08,12.95,13.01,12.90,12.85,12.93,13.01,12.99,13.02,13.13,12.79,12.49,12.51,12.40,12.54,12.52,12.46,12.44,12.29,12.35,12.35,12.30,12.44,12.48,12.46,12.45,12.27,12.28,12.34,12.30,12.41,12.33,12.18,12.17,12.13,12.00,12.00,11.85,11.66,11.80,11.76,11.61,11.46,11.41,11.49,11.48,11.38,11.41,11.50,11.49,11.42,11.33,11.09,11.07,11.06,11.07,11.11,11.09,11.05
