fecha,sura
jul-98,22.15
ago-98,20.56
sep-98,20.82
oct-98,22.72
nov-98,23.93
dic-98,25.55
ene-99,25.51
feb-99,26.36
mar-99,26.75
abr-99,26.67
may-99,26.44
jun-99,26.35
jul-99,26.23
ago-99,26
sep-99,25.91
oct-99,26.08
nov-99,26.34
dic-99,26.33
ene-00,25.99
feb-00,25.96
mar-00,25.77
abr-00,25.44
may-00,24.46
jun-00,24.11
jul-00,24.48
ago-00,24.13
sep-00,23.89
oct-00,23.64
nov-00,23.61
dic-00,23.5
ene-01,23.33
feb-01,23.23
mar-01,23.04
abr-01,23.17
may-01,23.4
jun-01,23.33
jul-01,22.96
ago-01,22.64
sep-01,22.16
oct-01,22.37
nov-01,22.24
dic-01,22.22
ene-02,22.21
feb-02,22.09
mar-02,21.87
abr-02,21.8
may-02,21.42
jun-02,20.95
jul-02,20.74
ago-02,20.63
sep-02,20.19
oct-02,20.03
nov-02,20.08
dic-02,20.08
ene-03,19.75
feb-03,19.64
mar-03,19.63
abr-03,19.73
may-03,19.7
jun-03,19.6
jul-03,19.27
ago-03,19.16
sep-03,19.12
oct-03,19
nov-03,18.76
dic-03,18.57
ene-04,18.57
feb-04,18.38
mar-04,18.24
abr-04,17.88
may-04,17.67
jun-04,17.41
jul-04,17.36
ago-04,17.26
sep-04,17.21
oct-04,17.14
nov-04,17
dic-04,16.97
ene-05,16.91
feb-05,16.75
mar-05,16.61
abr-05,16.51
may-05,16.5
jun-05,16.47
jul-05,16.44
ago-05,16.44
sep-05,16.47
oct-05,16.34
nov-05,16.32
dic-05,16.34
ene-06,16.31
feb-06,16.32
mar-06,16.05
abr-06,15.99
may-06,15.65
jun-06,15.56
jul-06,15.68
ago-06,15.75
sep-06,15.69
oct-06,15.77
nov-06,15.83
dic-06,16.01
ene-07,15.71
feb-07,15.59
mar-07,15.83
abr-07,15.79
may-07,15.79
jun-07,15.59
jul-07,15.51
ago-07,15.33
sep-07,15.37
oct-07,15.35
nov-07,15.12
dic-07,14.99
ene-08,15.04
feb-08,15.08
mar-08,14.99
abr-08,14.76
may-08,14.66
jun-08,13.88
jul-08,13.99
ago-08,14.17
sep-08,13.83
oct-08,13.29
nov-08,12.96
dic-08,13.56
ene-09,13.66
feb-09,13.11
mar-09,13.49
abr-09,13.63
may-09,13.46
jun-09,13.4
jul-09,13.45
ago-09,13.42
sep-09,13.5
oct-09,13.5
nov-09,13.51
dic-09,13.51
ene-10,13.47
feb-10,13.51
mar-10,13.53
abr-10,13.53
may-10,13.42
jun-10,13.53
jul-10,13.63
ago-10,13.59
sep-10,13.73
oct-10,13.78
nov-10,13.39
dic-10,13.35
ene-11,13.16
feb-11,13.05
mar-11,12.93
abr-11,13.04
may-11,13.06
jun-11,12.98
jul-11,13.05
ago-11,13.06
sep-11,12.81
oct-11,13.01
nov-11,12.74
dic-11,12.75
ene-12,12.95
feb-12,12.85
mar-12,12.79
abr-12,12.82
may-12,12.72
jun-12,12.87
jul-12,13.08
ago-12,12.95
sep-12,13.01
oct-12,12.9
nov-12,12.85
dic-12,12.93
ene-13,13.01
feb-13,12.99
mar-13,13.02
abr-13,13.13
may-13,12.79
jun-13,12.49
jul-13,12.51
ago-13,12.4
sep-13,12.54
oct-13,12.52
nov-13,12.46
dic-13,12.44
ene-14,12.29
feb-14,12.35
mar-14,12.35
abr-14,12.3
may-14,12.44
jun-14,12.48
jul-14,12.46
ago-14,12.45
sep-14,12.27
oct-14,12.28
nov-14,12.34
dic-14,12.3
ene-15,12.41
feb-15,12.33
mar-15,12.18
abr-15,12.17
may-15,12.13
jun-15,12
jul-15,12
ago-15,11.85
sep-15,11.66
oct-15,11.8
nov-15,11.76
dic-15,11.61
ene-16,11.46
feb-16,11.41
mar-16,11.49
abr-16,11.48
may-16,11.38
jun-16,11.41
jul-16,11.5
ago-16,11.49
sep-16,11.42
oct-16,11.33
nov-16,11.09
dic-16,11.07
ene-17,11.06
feb-17,11.07
mar-17,11.11
abr-17,11.09
may-17,11.05
